ass.name,study,biome,latitude,longitude,abs_latitude,median_betaMPD,median_betaSESMPD,median_betaMNTD,median_betaSR,median_betaJacc,median_betaPhyloSor,median_betaCTI,SST_mean,betaSST_lm
210_535746,210,Temperate_Northern_Atlantic,59.2241273,-0.565816813,59.2241273,0.00158896,0.00103863,0.006497387,0.016175857,0.01585706,-1.90E-05,0.076860126,9.725030868,0.43351166
210_535747,210,Temperate_Northern_Atlantic,59.21226925,-0.401729488,59.21226925,0.000385108,-0.000586765,0.003698523,0.006226498,-0.005567643,0.00323165,0.01578171,9.85556195,0.543693062
210_535769,210,Temperate_Northern_Atlantic,58.90068636,3.161460514,58.90068636,0.003631808,0.003730896,0.016773619,0.014420516,-0.00267142,0.007031468,0.021120234,9.697866881,0.476621943
210_535770,210,Temperate_Northern_Atlantic,58.88426571,3.321138827,58.88426571,0.001355915,0.002268152,0.007821329,0.01061902,0.020309362,0.007324495,0.039272489,10.09469757,0.475711167
210_535771,210,Temperate_Northern_Atlantic,58.867653,3.480605231,58.867653,0.002849718,0.003343135,0.003101508,0.011046454,0.001197896,-0.00206992,0.015150445,9.669230143,0.421173608
210_535812,210,Temperate_Northern_Atlantic,58.02830923,9.819021596,58.02830923,0.002717644,0.006140643,0.003560338,0.013697475,0.016934368,-0.010186722,0.048715556,9.623781557,0.390740932
210_536466,210,Temperate_Northern_Atlantic,59.23598721,-2.155043507,59.23598721,0.004046409,0.006010031,0.015731977,0.01381001,0.008733645,0.015827068,0.042612766,9.508150991,0.396311102
210_536470,210,Temperate_Northern_Atlantic,59.19515863,-1.495526253,59.19515863,0.001465966,0.003316389,0.012508114,0.009765081,0.022015626,0.028167775,0.050102793,9.469749877,0.375785457
210_536471,210,Temperate_Northern_Atlantic,59.18443499,-1.331039618,59.18443499,0.000450989,-0.000353693,0.01084256,0.01326757,0.009437348,0.006387531,0.045541786,9.211319406,0.153076673
210_536472,210,Temperate_Northern_Atlantic,59.17350564,-1.166714015,59.17350564,0.00016326,-0.000811456,0.006499232,0.017011519,0.011805972,0.0157956,0.066867219,9.821880996,0.633267456
210_536480,210,Temperate_Northern_Atlantic,59.07871986,0.141861584,59.07871986,0.001775847,0.002794556,0.012056123,0.008572712,0.019313905,0.016233817,0.035834166,9.486761136,0.512114779
210_536495,210,Temperate_Northern_Atlantic,58.86643749,2.564001016,58.86643749,0.002887923,0.00403018,0.006689147,0.005676652,0.015639145,0.001025953,0.005189806,9.439172363,0.367357333
210_536496,210,Temperate_Northern_Atlantic,58.8507149,2.723906376,58.8507149,0.003778324,0.004036636,0.00438107,0.013061557,0.014968045,0.018606523,0.018808281,9.601217113,0.376727541
210_536497,210,Temperate_Northern_Atlantic,58.83479898,2.88360597,58.83479898,0.005380439,0.007263002,0.012322569,0.008937809,-0.004295337,0.004961768,0.024286601,9.667208575,0.292457839
210_536498,210,Temperate_Northern_Atlantic,58.81869029,3.043098201,58.81869029,0.001338696,0.001381695,0.010273188,0.01039347,0.01490523,0.025086974,0.030985824,10.18895874,1.408550989
210_536499,210,Temperate_Northern_Atlantic,58.80238937,3.202381485,58.80238937,0.004669188,0.009034601,0.019485698,0.009149481,0.008966452,0.018824516,0.027006576,9.547324035,0.287690967
210_536500,210,Temperate_Northern_Atlantic,58.78589676,3.361454257,58.78589676,0.008817526,0.007297825,0.00890871,0.016348805,0.002293589,0.017045377,0.004289106,9.490380859,0.517154587
210_536501,210,Temperate_Northern_Atlantic,58.76921301,3.520314964,58.76921301,0.005039366,0.006799659,0.011231406,0.011046194,0.006273394,0.021014104,0.033970341,9.620661965,0.522363785
210_536541,210,Temperate_Northern_Atlantic,57.96021244,9.730318745,57.96021244,0.00228705,0.004660619,0.014133383,0.011098255,0.017586376,0.026487545,0.04857443,9.645804573,0.386147401
210_536542,210,Temperate_Northern_Atlantic,57.94451874,9.924729931,57.94451874,0.001703069,0.00318648,0.006447205,0.012370259,0.008157395,0.019199709,0.02530047,9.620196626,0.412469363
210_537195,210,Temperate_Northern_Atlantic,59.15027855,-2.259512181,59.15027855,0.00093452,0.002275649,0.010673947,0.009206968,0.016075226,0.026120676,0.057731781,9.555597275,0.41813328
210_537201,210,Temperate_Northern_Atlantic,59.08843626,-1.273775328,59.08843626,0.000275822,0.000237197,0.008836733,0.012820968,0.014425459,0.032127449,0.036209189,9.931988525,1.359197477
210_537204,210,Temperate_Northern_Atlantic,59.05474396,-0.783064952,59.05474396,0.002044849,0.001302274,0.020088112,0.019065747,0.008959603,0.010902145,0.071581506,9.667188338,0.443373673
210_537214,210,Temperate_Northern_Atlantic,58.92928286,0.841460392,58.92928286,0.000237476,0.000459292,0.019807264,0.008138712,0.019834645,0.021317049,0.018984559,9.318480428,0.115747981
210_537217,210,Temperate_Northern_Atlantic,58.88774859,1.325274623,58.88774859,0.006428186,0.008825017,0.029019376,0.016642562,0.018725387,0.052727218,0.050247934,9.631885392,0.622470694
210_537224,210,Temperate_Northern_Atlantic,58.78395997,2.447406012,58.78395997,0.002364973,0.003539417,0.01304624,0.012391364,0.020089449,0.033945032,0.046416258,9.69410218,0.545066198
210_537225,210,Temperate_Northern_Atlantic,58.76835492,2.606912396,58.76835492,0.003358956,0.004782283,0.014990046,0.015893127,-0.0109257,0.017578671,0.03651212,9.650990199,0.392628818
210_537231,210,Temperate_Northern_Atlantic,58.67069205,3.559602822,58.67069205,-0.001227607,-0.003538432,0.003573621,0.004079879,0.025601852,0.015233828,0.04021663,9.881866048,0.432267114
210_537232,210,Temperate_Northern_Atlantic,58.65374791,3.717645411,58.65374791,0.002297385,0.003432868,0.011155335,0.010618705,-0.010482678,0.009194084,0.035921327,9.935034406,0.836417478
210_537270,210,Temperate_Northern_Atlantic,57.89202702,9.641913657,57.89202702,-0.000721077,-0.002526537,0.008852377,0.006404084,0.018257355,0.000806104,0.025336153,9.735373227,0.441314821
